simple_sku,product_name,sale_price,discounted_price,Category lv2,Category lv3,picture_url,image_url_2,image_url_3,image_url_4,image_url_5,brand
2G003ELAA1V1D1VNAMZ-3144363,Loa máy tính JVJ JS205,680000,520000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7177213-2a8979dd6586d9515d58c03b6f42ebd0-product.jpg,http://static.lazada.vn/p/2/image-7177213-fba75b7aaec0d59d5160151f883263ee-product.jpg,http://static.lazada.vn/p/2/image-7177213-c0288787ab5b9531d695c557e02140c8-product.jpg,http://static.lazada.vn/p/2/image-7177213-0e526310bf26b47ec2e9692cf90f73d9-product.jpg,,2GOOD
2G003ELAA2181UVNAMZ-3463331,Loa 2.1 2GOOD 136UBT + Tặng kèm mic dây COK 101B,2200000,1620000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-2236143-c107e8277a3c9ae55f2949aca0569bb3-product.jpg,http://static.lazada.vn/p/2/image-2236143-9c98ea3b28659332935afaad7135723a-product.jpg,http://static.lazada.vn/p/2/image-2236143-a6b9f339a07d90ba69313b06397311df-product.jpg,http://static.lazada.vn/p/2/image-2236143-8da64371bf8fcef20e249999287274f3-product.jpg,,2GOOD
2G003ELAA21843VNAMZ-3463417,Bộ loa máy tính 2.1 2GOOD 220UBT + Tặng mic dây COK 101B,2350000,1550000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-3046143-f6eb77ccfbc22f467a41aec91c674512-product.jpg,http://static.lazada.vn/p/2/image-3046143-7bf0df1c89d26b531fc2d3b6c08280e0-product.jpg,http://static.lazada.vn/p/2/image-3046143-f565fb41e64e9fd4d71f826baf45840b-product.jpg,,,2GOOD
2G003ELAA2184HVNAMZ-3463431,Bộ loa máy tính 2.1 2GOOD 220UBT + Tặng mic dây COK 101B,2350000,1550000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7146143-e84ae60efb6a8b90fbba8707e645f9e2-product.jpg,http://static.lazada.vn/p/2/image-7146143-7bf0df1c89d26b531fc2d3b6c08280e0-product.jpg,http://static.lazada.vn/p/2/image-7146143-f565fb41e64e9fd4d71f826baf45840b-product.jpg,http://static.lazada.vn/p/2/image-7146143-401316e1b8c8cd8391f39bc3c829ac38-product.jpg,,2GOOD
2G003ELAA219NHVNAMZ-3465566,Loa 2.1 2GOOD 136UBT + Tặng kèm mic dây COK 101B,2200000,1450000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7938143-500542c3898a1f998dab1f12214d693c-product.jpg,http://static.lazada.vn/p/2/image-7938143-6504c17a73a03d8f0d56cbda00580a29-product.jpg,http://static.lazada.vn/p/2/image-7938143-0e8a119e4a337e02102324bd781773c7-product.jpg,http://static.lazada.vn/p/2/image-7938143-df5a137f7f322824f5be03beae868003-product.jpg,,2GOOD
2G003ELAA2MKTEVNAMZ-4499242,Chuột quang có dây 2GOOD G10,150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-2462144-57245d817506080eff76b354da07f4f4-product.jpg,http://static.lazada.vn/p/2/image-2462144-e175a6550157a7df7a3f1705941d6c9f-product.jpg,http://static.lazada.vn/p/2/image-2462144-d5d326ccc09f5a89c725b80eb94bc958-product.jpg,,,2GOOD
2G003ELAA2NLS6VNAMZ-4548377,Chuột quang có dây 2GOOD G10,150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0550644-9387700419ff7ac184d59fc1e8223fab-product.jpg,http://static.lazada.vn/p/2/image-0550644-171396ecb39e343218959e90e5d0aac5-product.jpg,http://static.lazada.vn/p/2/image-0550644-ec9aa1554224c550e462d59cafaec51f-product.jpg,,,2GOOD
2G003ELAA2NTYOVNAMZ-4559662,Chuột quang có dây 2GOOD G5 (Đen phối xám)(Đen),130000,65000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-2511744-363f0d7f152abb47606d7ecc312f24aa-product.jpg,http://static.lazada.vn/p/2/image-2511744-b4ba6716986ca1cd22c339c385dae6f7-product.jpg,http://static.lazada.vn/p/2/image-2511744-42632172989d22a0b651a3793401d4dd-product.jpg,,,2GOOD
2G003ELAA2OAAOVNAMZ-4582045,Chuột quang (dây) 2GOOD G10,150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0232944-b95873c2dfee9d355f47dfd3c42deef1-product.jpg,http://static.lazada.vn/p/2/image-0232944-4c58747b386e14e540d3bb463542cb2b-product.jpg,,,,2GOOD
2G003ELAA2P1CRVNAMZ-4618690,Loa máy tính 2.1 2GOOD 135UBT (Đen),1850000,1200000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7837254-64df4ba48fb3e7ca5905a2c5a3dcaed1-product.jpg,http://static.lazada.vn/p/2/image-7837254-b2a32c7f854a0562fb5b95b5b2935edb-product.jpg,http://static.lazada.vn/p/2/image-7837254-cb950eb9087601615a155d55dd111b5c-product.jpg,http://static.lazada.vn/p/2/image-7837254-86afd63d6896b7c520ef46bc28da77d2-product.jpg,http://static.lazada.vn/p/2/image-7837254-b5c0e19e94e8c2f1427d90152500c7e0-product.jpg,2GOOD
2G003ELAA2PL5SVNAMZ-4648385,Chuột quang có dây 2GOOD G10,150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-6503554-ef39fffffc6c3845d9270584c21485b5-product.jpg,http://static.lazada.vn/p/2/image-6503554-c7eacca6521f8bdb21ebfb62b9fc16b4-product.jpg,,,,2GOOD
2T174ELAA1AE8HVNAMZ-1963732,Bộ chuyển đổi HDMI sang VGA 2teck,146000,121550,Computer Accessories,Gadgets,http://static.lazada.vn/p/2/image-5264612-e1542b9216d370ac25bda304e9ea6e71-product.jpg,,,,,2teck
2T174ELAA1CKGFVNAMZ-2100498,Bộ chuyển đổi HDMI sang VGA 2teck (Trắng),196000,139999,Computer Accessories,Gadgets,http://static.lazada.vn/p/2/image-9995622-1d04889937d62845072531ceec647811-product.jpg,,,,,2teck
2T174ELAA1GPY6VNAMZ-2337044,Chuột game RDRAGS V1 USB 2.0 LED,345480,287900,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-2479542-637ac0f2e46763df21f0ab16ee1603d2-product.jpg,,,,,2teck
2T174ELAA1GPYPVNAMZ-2337063,Bộ 50 đĩa CD trắng MINGSHENG,323420,276900,Computer Accessories,Blank Media,http://static.lazada.vn/p/2/image-1679542-04280f132ba01b977ec875312c0a95e8-product.jpg,,,,,2teck
3C322ELAA17GUXVNAMZ-1795645,Thanh PDU 8 outlet chuẩn C13 dùng cho tủ rack,900000,900000,Computer Accessories,Gadgets,http://static.lazada.vn/p/2/image-7508202-00de8707a1a206f3fb4614f77883b4f6-product.jpg,,,,,3C
3D175ELAA1O11ZVNAMZ-2759938,USB sound âm thanh 3D Taiwan 7.1 (Đen),133480,71000,Computer Accessories,Gadgets,http://static.lazada.vn/p/2/image-7270082-7759defb3d539c09350a8da0c135a93b-product.jpg,,,,,3D
3F749HLAA0ZWRZVNAMZ-1371569,Chổi quét bụi cho máy tính 3FB,80000,80000,Computer Accessories,Gadgets,http://static.lazada.vn/p/3/image-9345761-1-product.jpg,http://static.lazada.vn/p/3/image-9345761-2-product.jpg,,,,3FB
3N281ELAA27AGEVNAMZ-3764909,Loa vi tính 2.1 BIOSTEK 3509,700000,700000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-4739963-3ae826725275fa3e40f80271302dcd68-product.jpg,http://static.lazada.vn/p/2/image-4739963-1815413af288c46773bc3d6501e78b27-product.jpg,http://static.lazada.vn/p/2/image-4739963-56f2b30a1338e34b629cae76ef125bc7-product.jpg,http://static.lazada.vn/p/2/image-4739963-3bd9d966f1878ef33a6d281ff6734ba8-product.jpg,http://static.lazada.vn/p/2/image-4739963-ce7a9d8a70561888693357bdae9dcfb8-product.jpg,3NOD
3N281ELAA27AH5VNAMZ-3764936,Loa vi tính HÀN QUỐC 2.1 SOKEN Thẻ nhớ + USB,600000,600000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-1049963-a8b446c011f876540fd517e75fd7e8cd-product.jpg,http://static.lazada.vn/p/2/image-1049963-e90e2e083f243293e1ad69facd396659-product.jpg,http://static.lazada.vn/p/2/image-1049963-e7f1913669a9c40a01c08fea6b49c65e-product.jpg,http://static.lazada.vn/p/2/image-1049963-df8b2be90f5901f8c535b75a2cbae1e0-product.jpg,http://static.lazada.vn/p/2/image-1049963-b52ac49f526a9879aefd409064b0dd64-product.jpg,3NOD
5C204ELAA2JZACVNAMZ-4377226,Bàn Phím Chuyên Game LED 3 Màu Thay Đổi,270000,199000,Computer Accessories,Keyboards,http://static.lazada.vn/p/2/image-8241924-4e6675fa2dd7e4ab8a40939e789f9556-product.jpg,http://static.lazada.vn/p/2/image-8241924-f26bacbd1ad74ca9de2e587b22721fce-product.jpg,,,,5C
7G045ELAA1SZEZVNAMZ-3035197,Loa Vi Tính Vỏ Gỗ Cổng USB,149000,141550,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-3881303-911bbcfb8674a31ffa2854fe953e6abb-product.jpg,http://static.lazada.vn/p/2/image-3881303-29ef3b896ff2350f94cc2d92e3d048b1-product.jpg,,,,7Gift Shop
A1331ELAA2XF0OVNAMZ-5061925,Keo tản nhiệt làm mát CPU - Ống Chích Lớn,70000,25000,Computer Accessories,Gadgets,http://static.lazada.vn/p/2/image-4438194-7d08d946fc101f71449678621ac17645-product.jpg,,,,,A 100+
A1331ELAA2ZMS6VNAMZ-5184929,Màn Hình LCD Dell Wide 22inch- Bào hành 4 Năm,2050000,1749000,Computer Accessories,Monitors,http://static.lazada.vn/p/2/image-8171205-39b2e6785b3b6429691ec9799305f04a-product.jpg,http://static.lazada.vn/p/2/image-8171205-2e8aab0d98e0342dbf92007f3ee59af2-product.jpg,,,,A 100+
A1331ELAA2ZMSDVNAMZ-5184936,Màn Hình Vi Tính LCD DELL E190S - Bảo Hành 5 Năm,2019000,1699000,Computer Accessories,Monitors,http://static.lazada.vn/p/2/image-5271205-464b561267952d7a8d4e3506619f0bc9-product.jpg,http://static.lazada.vn/p/2/image-5271205-d6ac81eef55811621b0a7b23c119f0ff-product.jpg,,,,A 100+
A4006ELAA0XQ8QVNAMZ-1255797,Chuột A4 Tech N360.2 (Đen),240000,145000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-8563751-6112a877689b8908999c54201e75a5f7-product.jpg,,,,,A4Tech
A4006ELACTGGVNAMZ-151101,Chuột A4Tech OP-720,130000,69000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-884131-1-product.jpg,,,,,A4Tech
A4006ELAFMZPVNAMZ-285336,Chuột quang có dây A4Tech OP-720 (Đen),200000,130000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-770362-1-product.jpg,http://static.lazada.vn/p/2/image-770362-2-product.jpg,http://static.lazada.vn/p/2/image-770362-3-product.jpg,http://static.lazada.vn/p/2/image-770362-4-product.jpg,,A4Tech
A4006ELAG6LTVNAMZ-317387,Chuột không dây A4TECH G3-280 (Đen),220000,198000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-794882-1-product.jpg,http://static.lazada.vn/p/2/image-794882-2-product.jpg,http://static.lazada.vn/p/2/image-794882-3-product.jpg,,,A4Tech
A4539ELAA11116VNAMZ-1438126,Chuột Optical A4tech OP 720 PS/2,160000,115000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0167271-9c3797af347ebf2d8dae60146b77b14b-product.jpg,,,,,A4Tech
A4539ELAA1111AVNAMZ-1438130,Chuột Optical A4tech OP 720 USB (Đen),186000,99000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-4167271-9405ebd81f17c610b7bb1c909496e7f9-product.jpg,,,,,A4Tech
A4539ELAA11A7FVNAMZ-1454830,Chuột dùng cho Notebook A4Tech N320 (Vàng-đen),220000,135000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9949371-af6788b53ea025c25fec17081d463fc1-product.jpg,,,,,A4Tech
A4539ELAA11A7GVNAMZ-1454831,Chuột dùng cho Notebook A4Tech N320 (Đen),220000,135000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0059371-1-product.jpg,,,,,A4Tech
A4539ELAA11A7HVNAMZ-1454832,Chuột quang có dây A4Tech OP-720 USB (Đen),150000,70000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-1059371-bce55f3564e180617a8851e05f0477f5-product.jpg,,,,,A4Tech
A4539ELAA193YHVNAMZ-1889612,Chuột quang có dây A4tech OP.720,128000,99000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9464012-c2800cc07fdaf1bc807c3a909a753f02-product.jpg,,,,,A4Tech
A4539ELAA1HQJWVNAMZ-2391587,Tai nghe chụp tai Gameing A4tech L-600-1 (Đen),690000,345000,Computer Accessories,Gaming Headphones,http://static.lazada.vn/p/2/image-0817052-6c1c023cee637c69082c559330c129cb-product.jpg,,,,,A4Tech
A4539ELAA1HQJZVNAMZ-2391590,Tai nghe chụp tai Gaming A4tech HS28 (Đen),528000,264000,Computer Accessories,Gaming Headphones,http://static.lazada.vn/p/2/image-3817052-7cb3842d57e478a94f25cdf15edf15e3-product.jpg,,,,,A4Tech
A4539ELAA1HQK1VNAMZ-2391592,Tai nghe chụp tai Gaming A4tech HS50 (Đen),428000,214000,Computer Accessories,Gaming Headphones,http://static.lazada.vn/p/2/image-5817052-384c94afcba16c3254db1be01d136c71-product.jpg,http://static.lazada.vn/p/2/image-5817052-2218ec95ee9b82e8124751544ce22b8d-product.jpg,,,,A4Tech
A4539ELAA1IKM5VNAMZ-2456113,Bàn phím A4tech KR-83U Chuẩn USB,420000,420000,Computer Accessories,Keyboards,http://static.lazada.vn/p/2/image-1416452-b481cfbb8f73b12acb595b0410aecc0d-product.jpg,http://static.lazada.vn/p/2/image-1416452-080ab6c66b7f1facf13239c89f95fd69-product.jpg,,,,A4Tech
A4539ELAA1IQ0YVNAMZ-2465736,Chuột quang A4TECH G3-280A (Đen),280000,190000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-4513552-4af1759afef2aea19709fc12e1d4752b-product.jpg,http://static.lazada.vn/p/2/image-4513552-1a2bc38f7b8b2046468ff5c2d49d7f53-product.jpg,http://static.lazada.vn/p/2/image-4513552-29857805dcc0073cb527c8a4979e4046-product.jpg,http://static.lazada.vn/p/2/image-4513552-1faa10f4a3950dc8c78acdb9ef901ac1-product.jpg,,A4Tech
A4539ELAA1IQAOVNAMZ-2466107,Chuột a4tech OP- 720,150000,150000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-4053552-ffaaa07854fda06b10427ab9ab5aa0fa-product.jpg,http://static.lazada.vn/p/2/image-4053552-253bd40eb06307304f15479bada0847c-product.jpg,,,,A4Tech
A4539ELAA1IQAPVNAMZ-2466108,Bàn phím a4tech KR- 83,200000,200000,Computer Accessories,Keyboards,http://static.lazada.vn/p/2/image-5053552-02871d501b804253a0f4c43178c402b7-product.jpg,http://static.lazada.vn/p/2/image-5053552-839065ff0681782abb223483c9cb7796-product.jpg,,,,A4Tech
A4539ELAA1ITQDVNAMZ-2471129,Chuột không dây A4tech G3-280A (đen),450000,427500,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-7597552-3e0059eb2c6682b21944640b316485ae-product.jpg,http://static.lazada.vn/p/2/image-7597552-e5f6cf2399f927d848f77b6cc9860bde-product.jpg,,,,A4Tech
A4539ELAA1JWF9VNAMZ-2528520,Chuột Quang A4TECH N-310R dây rút (Đen viền cam),250000,179000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-1018062-13e6254cf08434a65f578ba493468f00-product.jpg,,,,,A4Tech
A4539ELAA1O9SYVNAMZ-2774386,Bàn phím USB A4Tech KR-83U ( Đen ),250000,133000,Computer Accessories,Keyboards,http://static.lazada.vn/p/2/image-6602182-b481cfbb8f73b12acb595b0410aecc0d-product.jpg,,,,,A4Tech
A4539ELAA1QIB9VNAMZ-2904414,Chuột máy vi tính có dây A4-Tech OP720 1000dpi USB - Hãng Phân phối chính thức,165000,86998.6,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-5046192-d428d75f9475e01094516c29b5340035-product.jpg,http://static.lazada.vn/p/2/image-5046192-2908b4d8daba4688bb1d7ee48b8eee19-product.jpg,http://static.lazada.vn/p/2/image-5046192-ac252feacd670f976f0ebeace09fc31a-product.jpg,http://static.lazada.vn/p/2/image-5046192-a199536844a0374cf4e1f2a343ed42c0-product.jpg,,A4Tech
A4539ELAA1UG75VNAMZ-3114433,Chuột Chuyên Game A4Tech 720,155000,109000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9820013-d6d0a8bfab44c3bd1946a0da40b0d506-product.jpg,http://static.lazada.vn/p/2/image-9820013-88a91243e5948683ef0b47ccc57193c8-product.jpg,,,,A4Tech
